,obj,endobj,stream,endstream,xref,trailer,startxref,/Page,/Encrypt,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24
32,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,37,37,8,8,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
34,39,39,12,12,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
35,57,57,12,12,2,2,2,5,0,0,0,0,0,0,0,5,0,0,0,0,0
36,180,180,175,175,0,0,2,3,0,11,0,0,0,0,1,0,0,0,0,0,0
37,49,49,40,40,0,0,2,7,0,11,0,0,0,0,0,0,0,0,0,0,0
38,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,92,92,19,19,2,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0
40,31,31,17,17,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
41,51,51,45,45,0,0,3,2,0,12,0,0,0,0,2,0,0,0,8,0,0
42,59,59,53,53,0,0,3,2,0,11,0,0,0,0,2,0,0,0,8,0,0
43,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,24,24,21,21,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0
45,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,20,20,5,5,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
47,26,26,14,14,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
48,37,37,34,34,0,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0
49,168,168,70,70,2,2,2,2,0,2,1,2,0,0,1,0,0,0,0,0,0
50,101,101,36,36,2,2,1,2,0,3,2,3,1,0,1,0,0,0,0,0,0
51,128,128,31,31,4,4,2,1,0,5,2,3,1,0,2,0,0,0,0,0,0
52,463,463,22,22,2,2,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0
53,147,147,142,142,0,0,2,2,0,13,0,0,1,0,2,0,0,0,0,0,0
54,105,105,100,100,0,0,2,3,0,7,0,0,0,0,0,0,0,0,0,0,0
55,66,66,20,20,2,2,2,15,0,0,0,0,0,0,0,0,0,0,1,0,0
56,68,68,16,16,1,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0
57,27,27,9,9,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,58,51,51,0,0,1,5,0,16,0,0,0,0,1,0,0,0,0,0,0
59,460,460,38,38,2,2,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0
60,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,72,72,65,65,0,0,4,3,0,16,0,0,0,0,2,0,0,0,0,0,0
63,28,28,25,25,0,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0
64,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,20,20,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,56,56,27,27,2,2,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0
67,34,34,7,7,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
68,119,119,75,75,2,2,2,3,0,4,0,0,0,0,1,0,0,0,0,0,0
69,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,34,34,10,10,2,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0
71,33,33,8,8,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
72,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,43,43,22,22,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
74,58,58,12,12,2,2,2,3,0,2,0,0,0,1,0,0,0,0,0,0,0
75,116,116,75,75,2,2,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0
76,17,17,14,14,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0
77,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,34,34,31,31,0,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0
80,50,50,24,24,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
81,192,192,31,31,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
82,28,28,16,16,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
83,1130,1130,10,10,2,2,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0
84,73,73,29,29,6,6,4,19,0,4,0,0,0,0,0,0,0,0,0,0,0
85,68,68,17,17,2,2,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0
86,18,18,5,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,168,168,160,160,0,0,4,3,0,25,0,0,0,0,3,0,0,0,11,0,0
89,55,55,48,48,0,0,4,3,0,17,0,0,0,0,2,0,0,0,0,0,0
90,110,110,41,41,2,2,2,11,0,5,0,0,0,0,0,0,0,0,0,0,0
91,27,27,10,10,2,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0
92,204,204,41,41,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
93,69,69,58,58,0,0,1,9,0,11,0,0,1,0,0,0,0,0,0,0,0
94,93,93,85,85,0,0,5,3,0,19,0,0,0,0,3,0,0,0,0,0,0
95,34,34,8,8,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
96,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,34,34,22,22,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
99,65,65,58,58,0,0,3,3,0,13,0,0,0,0,2,0,0,0,8,0,0
100,76,76,31,31,2,2,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0
101,27,27,8,8,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
102,48,48,9,9,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
103,47,47,35,35,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
104,197,197,53,53,2,2,2,7,0,0,0,0,0,0,3,0,0,0,0,0,0
105,42,42,9,9,2,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0
106,25,25,22,22,0,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0
107,20,20,4,4,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
108,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,52,52,17,17,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
110,22,22,8,8,2,2,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0
111,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,100,100,29,29,2,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0
113,86,86,76,76,0,0,3,6,0,15,0,0,0,0,2,0,0,0,8,0,0
114,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,42,42,12,12,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
116,128,128,33,33,1,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0
117,131,131,38,38,4,4,3,2,0,4,0,0,0,0,2,0,0,0,0,0,0
118,42,42,13,13,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
119,13,13,3,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
120,32,32,20,20,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
121,37,37,34,34,0,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0
122,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,38,38,14,14,2,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0
124,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,22,22,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,62,62,16,16,2,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0
128,105,105,32,32,2,2,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0
129,33,33,10,10,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
130,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,122,122,89,89,2,2,2,4,0,8,0,0,0,0,0,0,0,0,0,0,0
132,120,120,112,112,0,0,3,4,0,27,0,0,0,0,2,0,0,0,8,0,0
133,25,25,22,22,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
134,48,48,19,19,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
135,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,36,36,26,26,0,0,3,7,0,10,0,0,0,0,0,0,0,0,0,0,0
138,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,32,32,15,15,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
142,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,125,125,117,117,0,0,3,4,0,35,0,0,0,0,2,0,0,0,8,0,0
144,109,109,57,57,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0
145,372,372,58,58,2,2,2,38,0,0,0,0,0,0,1,0,0,0,0,0,0
146,148,148,69,69,2,2,2,2,0,0,8,9,1,0,2,0,0,0,0,0,0
147,54,54,25,25,2,2,2,4,0,16,0,0,0,0,0,0,0,0,0,0,0
148,112,112,14,14,2,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0
149,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,107,107,34,34,2,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0
152,39,39,14,14,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
153,40,40,13,13,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
154,431,431,25,25,2,2,2,5,0,0,1,2,0,0,1,0,0,0,0,0,0
155,64,64,8,8,2,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0
156,36,36,10,10,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
157,69,69,18,18,2,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1767,1767,26,26,2,2,2,13,0,0,0,0,0,1,0,0,0,0,0,0,0
159,85,85,14,14,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
160,29,29,10,10,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,27,27,8,8,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
162,305,305,26,26,2,2,2,4,1,0,0,0,0,1,1,0,0,0,0,0,0
163,103,103,30,30,2,2,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0
164,243,243,28,28,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
165,82,82,74,74,0,0,4,2,0,13,0,0,0,0,3,0,0,0,8,0,0
166,23,23,11,11,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
167,28,28,16,16,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
168,241,241,17,17,2,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
169,35,35,9,9,2,2,2,7,0,0,0,0,0,1,0,0,0,0,0,0,0
170,26,26,5,5,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
171,109,109,101,101,0,0,6,4,0,21,0,0,0,0,2,0,0,0,0,0,0
172,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
173,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174,204,204,15,15,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
175,40,40,13,13,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,41,41,9,9,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
177,371,371,48,48,4,4,4,36,0,0,0,0,0,2,0,0,0,0,0,0,0
178,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179,52,52,40,40,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
180,31,31,19,19,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
181,59,59,14,14,2,2,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0
182,32,32,20,20,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
183,109,109,70,70,0,0,4,7,0,16,0,0,0,0,1,0,0,0,0,0,0
184,205,205,163,163,0,0,5,8,0,22,0,0,0,0,2,0,0,0,0,0,0
185,79,79,32,32,2,2,2,25,0,3,0,0,0,0,0,0,0,0,0,0,0
186,63,63,54,54,0,0,5,4,0,20,0,0,0,0,2,0,0,0,0,0,0
187,28,28,7,7,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
188,179,179,24,24,5,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
189,39,39,14,14,2,2,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0
190,73,73,21,21,2,2,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0
191,77,77,25,25,3,3,3,1,0,0,2,3,12,0,2,0,0,0,0,0,0
192,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,37,37,11,11,2,2,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0
194,104,104,22,22,2,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0
195,291,291,99,99,4,4,4,3,0,0,0,1,0,0,2,0,0,0,0,0,0
196,61,61,53,53,0,0,4,4,0,19,0,0,0,0,2,0,0,0,0,0,0
197,40,40,37,37,0,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0
198,27,27,9,9,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
199,76,76,31,31,2,2,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0
200,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201,120,120,12,12,2,2,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0
202,115,115,40,40,2,2,2,35,0,0,0,0,0,0,0,0,0,0,1,0,0
203,40,40,14,14,2,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0
204,114,114,20,20,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
205,188,188,174,174,0,0,5,9,0,31,0,0,0,0,3,0,0,0,0,0,0
206,49,49,10,10,2,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0
207,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,51,51,31,31,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
209,24,24,6,6,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0
210,33,33,30,30,0,0,2,1,0,5,0,0,0,0,1,0,0,0,0,0,0
211,119,119,15,15,2,2,2,3,0,0,2,3,1,2,2,0,0,0,0,0,0
212,43,43,24,24,4,4,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0
213,36,36,9,9,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
214,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
216,29,29,7,7,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
217,123,123,31,31,2,2,2,28,0,0,0,0,0,0,1,0,0,0,0,0,0
218,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
219,24,24,6,6,2,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0
220,122,122,39,39,2,2,2,23,0,2,0,0,0,0,0,0,0,0,0,0,0
221,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222,21,21,6,6,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
223,348,348,132,132,2,2,2,4,0,0,1,1,1,0,2,0,0,0,0,0,0
224,56,56,15,15,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
225,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
226,23,23,12,12,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
227,77,77,70,70,0,0,3,3,0,22,0,0,0,0,2,0,0,0,8,0,0
228,103,103,42,42,2,2,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0
229,53,53,46,46,0,0,3,4,0,9,0,0,0,0,1,0,0,0,0,0,0
230,68,68,61,61,0,0,4,3,0,14,0,0,0,0,2,0,0,0,0,0,0
231,38,38,26,26,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
232,48,48,15,15,2,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
233,44,44,12,12,2,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
234,59,59,6,6,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
235,121,121,29,29,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
236,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
237,216,216,33,33,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
238,34,34,9,9,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
239,52,52,47,47,0,0,3,2,0,8,0,0,0,0,0,0,0,0,0,0,0
240,12,12,4,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241,48,48,17,17,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
242,138,138,70,70,3,3,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0
243,28,28,9,9,2,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0
244,100,100,95,95,0,0,2,3,0,7,0,0,0,0,0,0,0,0,0,0,0
245,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
246,115,115,42,42,4,4,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0
247,278,278,38,38,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0
248,273,273,29,29,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
249,214,214,206,206,0,0,3,4,0,33,0,0,0,0,2,0,0,0,8,0,0
250,15,15,12,12,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0
251,28,28,16,16,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
252,79,79,23,23,2,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0
253,36,36,9,9,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0
254,189,189,21,21,4,4,4,3,0,0,0,1,0,0,2,0,0,0,0,0,0
255,33,33,21,21,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
256,36,36,9,9,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
257,160,160,19,19,1,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0
258,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
259,192,192,47,47,3,3,3,78,0,0,0,0,0,0,0,0,0,0,0,0,0
260,51,51,18,18,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
261,76,76,30,30,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
262,164,164,136,136,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0
263,141,141,43,43,2,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0
264,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
265,29,29,8,8,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
266,70,70,17,17,2,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0
267,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
268,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
269,320,320,117,117,2,2,2,58,0,31,0,0,0,0,1,0,0,0,0,0,0
270,17,17,14,14,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0
271,50,50,44,44,0,0,3,2,0,14,0,0,0,0,2,0,0,0,8,0,0
272,33,33,8,8,2,2,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0
273,152,152,19,19,2,2,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0
274,52,52,25,25,2,2,2,4,0,16,0,0,0,0,0,0,0,0,0,0,0
275,117,117,111,111,0,0,3,2,0,11,0,0,0,0,2,0,0,0,11,0,0
276,202,202,38,38,2,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
277,38,38,14,14,2,2,2,9,0,2,0,0,0,0,0,0,0,0,0,0,0
278,119,119,37,37,2,2,2,21,0,9,0,0,0,0,0,0,0,0,0,0,0
279,61,61,55,55,0,0,3,2,0,16,0,0,0,0,2,0,0,0,8,0,0
280,64,64,56,56,0,0,3,4,0,16,0,0,0,0,2,0,0,0,8,0,0
281,11,11,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
282,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
283,28,28,16,16,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
284,35,35,11,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
285,167,167,23,23,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
286,51,51,8,8,2,2,2,4,2,0,0,0,0,0,1,0,0,0,0,0,0
287,429,429,153,153,2,2,1,2,0,4,2,3,115,0,1,0,0,0,0,0,0
288,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
289,57,57,16,16,2,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
290,32,32,8,8,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
291,40,40,10,10,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
292,118,118,12,12,2,2,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0
293,61,61,55,55,0,0,3,2,0,12,0,0,0,0,2,0,0,0,8,0,0
294,21,21,8,8,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
295,705,705,59,59,2,2,2,23,0,0,0,0,0,1,0,0,0,0,0,0,0
296,29,29,17,17,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
297,45,45,13,13,2,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
298,54,54,48,48,0,0,3,2,0,14,0,0,0,0,2,0,0,0,9,0,0
299,46,46,15,15,2,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
300,48,48,23,23,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
301,89,89,25,25,2,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0
302,61,61,54,54,0,0,3,3,0,13,0,0,0,0,2,0,0,0,10,0,0
303,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
304,82,82,29,29,2,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
305,72,72,41,41,2,2,2,26,0,0,0,0,0,0,0,13,0,0,0,0,0
306,27,27,15,15,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
307,43,43,11,11,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
308,88,88,82,82,0,0,3,2,0,12,0,0,0,0,2,0,0,0,9,0,0
309,6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
310,35,35,10,10,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
311,84,84,23,23,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
